Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array7_14,6029912.366666666,242012.82685613772,5937998.409528949,6121826.323804383,12577444.033333333,1.251221625274897,12577443.55813236,12577444.508534307,14248.466666666667,1941.7152508943107,13511.023388709995,14985.90994462334,6160.3,891.5338898026628,5821.704691649443,6498.895308350558
array7_15,6245023.9,553867.5500452763,6034670.759151413,6455377.040848588,12840672.133333333,0.8459051693633015,12840671.81206734,12840672.454599326,15386.1,3932.223699553897,13892.682294534505,16879.517705465496,6169.266666666666,1058.0510363661838,5767.42987615685,6571.103457176483
array7_16,2722197.1333333333,128139.2068647046,2673531.1939266394,2770863.072740027,5403924.733333333,5.0128723192286575,5403922.82949651,5403926.637170156,13314.533333333333,1998.471127859717,12555.534762996174,14073.531903670491,6036.033333333334,370.8873578624947,5895.174168319908,6176.89249834676
array7_17,2825951.966666667,244186.449258551,2733212.490324351,2918691.4430089826,5403923.866666666,1.2310790208412925,5403923.399115645,5403924.334217687,14024.9,2631.4231301712007,13025.512835527405,15024.287164472595,6172.366666666667,847.7481734309757,5850.400718462478,6494.332614870856
array7_18,947786.7333333333,102714.19637256683,908776.9487468527,986796.5179198139,1594670.9333333333,1.0934146311237816,1594670.518065817,1594671.3486008497,11702.333333333334,871.7237075026825,11371.261726393417,12033.40494027325,5618.933333333333,358.54761964843044,5482.760672684291,5755.105993982375
array7_19,350371706.23333335,15985528.856057944,344300568.462719,356442844.0039477,742137134.3666667,2.588221182373888,742137133.3836871,742137135.3496462,290919.4666666667,165541.45748054236,228048.54108375733,353790.392249576,33725.433333333334,17487.12099743377,27084.006468898384,40366.860197768285
array7_20,619341159.4333333,20076066.150164656,611716478.0989133,626965840.7677532,1350332822.3,7.024481000994545,1350332819.632175,1350332824.967825,232877.7,84775.65241866323,200680.7880265577,265074.6119734423,28184.533333333333,14220.864323786918,22783.59681729144,33585.46984937522
array8_1,80965285.6,2273117.3010414224,80101979.26664965,81828591.93335034,179141041.26666668,1.236482466066094,179141040.7970635,179141041.73626986,28961.466666666667,8705.676641262426,25655.141129898842,32267.792203434492,7849.366666666667,1434.496996240223,7304.559611853061,8394.173721480272
array8_2,332274.0,107824.18551821602,291323.4946285563,373224.5053714437,128593.7,1.1298967504452193,128593.27087695376,128594.12912304624,12397.033333333333,1428.121668097256,11854.647561909056,12939.41910475761,5626.866666666667,1083.8470904862713,5215.232802821868,6038.5005305114655
array8_3,5991933.466666667,380007.6059843832,5847610.52617551,6136256.407157823,12577444.0,0.816496580927726,12577443.689903082,12577444.310096918,13755.033333333333,2576.7788222680056,12776.399509250501,14733.667157416165,5529.633333333333,650.2629459602392,5282.670222660015,5776.596444006652
array8_4,353530.5,55703.89706938525,332374.738654,374686.261346,250721.8,4.982636517614611,250719.90764641998,250723.69235358,11595.0,976.6742889349891,11224.069252663852,11965.930747336148,5643.1,463.8802539449162,5466.923099246424,5819.276900753577
