Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1636-Coin_Combinations_II,5445938.cpp,entry3.txt,2721206498,8824077156,32388626,18820391,605561703,131569,4032,606617764,88284,2614596844,13546852,1105385559,1479083,599020,268793,122367,2608225294,20874
1636-Coin_Combinations_II,5445938.cpp,entry4.txt,2618399035,8501031380,51804598,19784766,596520954,123661,4034,596337662,78514,2531100742,24099517,1079767397,1244170,709570,252111,156468,2516419898,23745
1636-Coin_Combinations_II,5445938.cpp,entry1.txt,2719208848,8816925253,31497645,18840215,604000695,139597,4032,606450149,98223,2605807461,13325863,1105372581,1298932,603632,217879,120240,2617140238,21870
1636-Coin_Combinations_II,1293444.cpp,entry2.txt,1485515983,4524791549,14961067,6140632,493354091,97771,1103,494766138,47313,1814043771,6746013,757741583,650611,369788,122419,72120,1804529120,7901
1636-Coin_Combinations_II,1293444.cpp,entry6.txt,2499155066,8384174378,16689325,8691976,800067013,114136,1102,804918406,76433,3020970983,6990277,1413504701,1040175,479276,143636,67133,3009812511,11516
1636-Coin_Combinations_II,1293444.cpp,entry5.txt,2518698559,8431073748,16985420,8468213,806703327,104533,1103,805631267,61316,3011301917,6903466,1401915418,1117386,469482,152752,68001,3002904880,11427
1636-Coin_Combinations_II,1293444.cpp,entry3.txt,2497789414,8422154525,16723504,8727868,803800198,117422,1103,804800418,70593,3008051523,6975572,1401806079,1142062,484037,146474,67901,3008122988,11315
1636-Coin_Combinations_II,1293444.cpp,entry4.txt,2418739510,8018224673,25817591,7996766,771368564,99111,1102,772507990,58238,2894440415,12090023,1341636934,1039301,691676,150954,60025,2898037225,11616
1636-Coin_Combinations_II,1293444.cpp,entry1.txt,2516446318,8444735045,17005808,9077799,810019013,129486,1103,805809001,83413,3015672122,6911288,1402634297,1086033,475185,138499,68545,2992664867,11515
1636-Coin_Combinations_II,1759010.cpp,entry2.txt,1197576251,2388797447,14222001,4682441,204546039,77935,1107,203558810,44544,1177539031,6248990,194907935,981317,220409,120899,7605,1241838219,6438
1636-Coin_Combinations_II,1759010.cpp,entry6.txt,1301350990,4136126329,15928319,7359338,205114340,94260,1107,204170548,46541,1909558516,6735572,304329937,947829,410113,175984,94743,1914716216,9185
1636-Coin_Combinations_II,1759010.cpp,entry5.txt,1302405758,4143660278,15597496,7653363,204288901,80499,1107,204593801,39169,1908877325,6729725,302609886,1013950,464290,139041,11912,1924068357,7951
1636-Coin_Combinations_II,1759010.cpp,entry3.txt,1292046200,4115589589,15630456,6830589,203916058,94955,1107,205470267,57769,1908491858,6748500,304803634,1127680,415756,168775,36907,1918372927,7979
1636-Coin_Combinations_II,1759010.cpp,entry4.txt,1277931756,3942277553,24646009,6208183,204718753,90288,1109,205574622,45192,1845197785,11794346,293086813,945695,356134,153251,6733,1830771410,4791
1636-Coin_Combinations_II,1759010.cpp,entry1.txt,1305337091,4131435834,16159765,7175555,204358452,84293,1108,205138036,44487,1904237897,6774727,306906087,653374,398165,65198,705,1927451765,4805
1636-Coin_Combinations_II,6417521.cpp,entry2.txt,6584815098,18724564708,66772363,38541909,1652267222,434488,98804,1656102064,388747,4967110350,32610604,3087918439,5513211,1848274,7320542,6847943,4951180024,1778859
1636-Coin_Combinations_II,6417521.cpp,entry6.txt,6502107762,18997745560,59991718,35090211,1716181317,435393,98805,1719245283,403207,5083422388,29751017,3102695691,5433482,1646632,7762032,7026392,5094514795,1818430
