file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
974D,gcc,9,-O0,1435,1435,1435.0,1.731978178024292
974D,gcc,9,-O1,1441,1441,1441.0,1.7692811489105225
974D,gcc,9,-O2,1433,1433,1433.0,2.095858573913574
974D,gcc,9,-O3,1433,1433,1433.0,2.028705358505249
974D,gcc,9,-Os,1426,1426,1426.0,2.088888168334961
974D,gcc,9,-Ofast,1517,1517,1517.0,2.3004415035247803
974D,gcc,10,-O0,1435,1435,1435.0,1.7738745212554932
974D,gcc,10,-O1,1441,1441,1441.0,1.7679131031036377
974D,gcc,10,-O2,1433,1433,1433.0,1.8746585845947263
974D,gcc,10,-O3,1433,1433,1433.0,1.9596471786499023
974D,gcc,10,-Os,1426,1426,1426.0,2.065927028656006
974D,gcc,10,-Ofast,1517,1517,1517.0,2.249698638916016
974D,gcc,11,-O0,1438,1438,1438.0,1.9363861083984373
974D,gcc,11,-O1,1441,1441,1441.0,2.1088945865631104
974D,gcc,11,-O2,1433,1433,1433.0,2.25471830368042
974D,gcc,11,-O3,1433,1433,1433.0,1.944485425949097
