Regression Analysis Report
Generated on: 2025-04-25 07:11:03
============================================================

Found 334 regression(s):

208. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA2.c | gcc-12 | Seconds until this regression: 6230.0182547569275
209. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA3.c | gcc-9 | Seconds until this regression: 6235.92289185524
210. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA3.c | gcc-10 | Seconds until this regression: 6235.92289185524
211. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA3.c | gcc-11 | Seconds until this regression: 6235.92289185524
212. Regression found (-Os worse than -O2): ../../code/codes/ABTA | ABTA3.c | gcc-12 | Seconds until this regression: 6235.92289185524
213. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA4.c | gcc-9 | Seconds until this regression: 6255.513787031174
214. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA4.c | gcc-10 | Seconds until this regression: 6255.513787031174
215. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA4.c | gcc-11 | Seconds until this regression: 6255.513787031174
216. Regression found (-Os worse than -O1): ../../code/codes/ABTA | ABTA4.c | gcc-12 | Seconds until this regression: 6255.513787031174
217. Regression found (-Os worse than -O3): ../../code/codes/ABTA | ABTA6.c | gcc-9 | Seconds until this regression: 6345.604359388351
