Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
S1BF0.out,10658566,6175076,77153,16327,1209824
S1BF0.out,10590711,6135384,66539,12610,1203145
S1BF0.out,10593795,6134165,71553,13896,1203040
S1BF0.out,10546526,6127149,63123,11401,1202186
S1BF0.out,10520162,6129101,65216,12674,1201974
S1BF0.out,10591184,6158475,69356,13661,1207359
S1BF0.out,10531085,6134031,65407,12931,1202850
S1BF0.out,10712870,6150480,71314,14879,1205329
S1BF0.out,10511664,6137456,71339,14120,1203505
S1BF0.out,10550268,6133799,73164,14604,1203384
S1BF0.out,10669261,6136066,67539,13130,1203818
S1BF0.out,10710539,6151862,76252,16387,1205736
S1BF0.out,10564829,6136184,69627,16456,1203935
S1BF0.out,10676571,6159420,74685,23045,1206891
S1BF0.out,10611720,6141316,73756,16550,1204705
S1BF0.out,10572435,6132119,75612,18026,1203046
S1BF0.out,10643503,6147421,70038,18291,1205016
S1BF0.out,10689434,6130129,70181,21248,1202576
S1BF0.out,10780925,6124097,68194,25826,1201896
S1BF0.out,11282263,6188913,98464,48623,1211716
S1BF0.out,10877899,6142080,76226,35099,1204166
S1BF0.out,11177924,6160126,75475,34776,1206797
S1BF0.out,10928522,6160160,79408,42256,1207138
S1BF0.out,11123153,6150204,75585,42770,1205324
S1BF0.out,11503110,6135787,73065,35769,1203521
S1BF0.out,11892913,6162889,92549,39794,1207780
S1BF0.out,11332006,6152294,83486,39104,1205786
S1BF0.out,11303339,6133273,75237,36787,1202934
S1BF0.out,11458791,6139225,77265,36827,1203768
S1BF0.out,10915996,6140027,72674,35168,1204027
S1BF0.out,10943836,6135348,75176,34996,1203382
S1BF0.out,11157023,6129437,82238,35545,1202407
S1BF0.out,11031118,6145635,75671,27481,1205729
S1BF0.out,10582466,6147410,74161,19232,1205220
S1BF0.out,10653677,6124877,65313,17216,1201940
S1BF0.out,10667299,6143837,79302,17066,1204728
S1BF0.out,10560872,6135554,66633,13549,1203600
S1BF0.out,10607912,6140880,69170,17598,1204749
S1BF0.out,10594005,6132127,70509,15490,1203081
S1BF0.out,10655753,6124668,67813,12612,1201661
S1BF0.out,10836491,6161687,77728,25901,1207462
S1BF0.out,10374070,6136748,79052,26755,1202901
S1BF0.out,10261940,6128074,80734,27069,1201706
S1BF0.out,10315183,6149913,80033,28087,1205826
S1BF0.out,10040336,6147944,76172,27588,1205588
S1BF0.out,10906133,6181716,86415,28274,1211546
S1BF0.out,10878619,6198530,89500,29724,1213773
S1BF0.out,10825913,6129224,74205,23450,1202289
S1BF0.out,10634840,6143190,74337,25232,1204892
S1BF0.out,10966373,6148094,81161,27715,1205458
S1BF0.out,10636736,6142250,75105,26539,1204814
S1BF0.out,9857597,6137494,84569,29466,1203688
S1BF0.out,10711246,6133015,71359,13483,1203193
S1BF0.out,10760330,6217567,78867,30980,1216772
S1BF0.out,10687184,6204236,86186,31037,1214670
S1BF0.out,10490658,6161604,82232,14293,1208511
S1BF0.out,10598016,6147699,74182,24971,1206178
S1BF0.out,10609329,6172799,73556,17573,1209699
S1BF0.out,11157992,6163457,79113,25307,1208114
S1BF0.out,11036543,6187383,83989,29023,1212492
S1BF0.out,11154171,6154659,82721,31284,1206055
S1BF0.out,10344200,6143219,78465,28391,1204665
S1BF0.out,10430778,6139743,84979,28166,1203817
S1BF0.out,10762477,6182450,91665,34560,1211355
S1BF0.out,10601213,6131655,75154,25635,1202703
S1BF0.out,10502468,6157274,86450,31546,1207161
S1BF0.out,11137496,6141686,80149,37720,1204586
S1BF0.out,10906739,6148544,78854,32186,1205570
S1BF0.out,11211515,6169860,79569,29134,1208738
S1BF0.out,10729961,6145527,79569,33661,1204577
S1BF0.out,10878707,6152481,84485,34069,1206276
S1BF0.out,10574546,6142258,77471,26370,1204586
S1BF0.out,10840790,6150610,81496,28519,1205658
S1BF0.out,10734041,6138122,82282,28453,1204018
S1BF0.out,11195528,6137095,67946,21859,1203856
S1BF0.out,10443375,6153673,66959,13616,1206506
S1BF0.out,10693308,6130821,65875,11620,1202802
S1BF0.out,10578047,6140177,73782,13298,1203990
S1BF0.out,10591753,6150028,69153,11661,1206008
S1BF0.out,10586719,6125089,69154,14036,1201682
S1BF0.out,10683748,6161799,76292,15839,1207790
S1BF0.out,9997465,6116771,72099,12441,1200424
S1BF0.out,10523255,6129768,70128,13773,1202617
S1BF0.out,10448405,6159306,79141,17670,1207439
S1BF0.out,10702190,6136104,63432,13214,1203294
S1BF0.out,10714831,6158339,71121,14534,1206646
S1BF0.out,10399779,6137880,77139,15194,1203134
S1BF0.out,10461375,6125011,68788,15783,1201347
S1BF0.out,10687772,6181521,74990,17938,1210791
S1BF0.out,10507742,6133922,66662,17106,1202937
S1BF0.out,10800523,6159237,78731,24911,1206999
S1BF0.out,11479187,6248305,73402,24306,1221132
S1BF0.out,11444556,6198831,89732,31677,1214563
S1BF0.out,10843606,6135037,72025,35034,1203296
S1BF0.out,11042117,6150415,82185,38968,1206079
S1BF0.out,10735719,6142554,72401,26154,1204355
S1BF0.out,11115909,6137254,73895,24236,1203317
S1BF0.out,10650244,6129899,68713,14000,1202580
S1BF0.out,10320841,6121482,67540,13085,1200815
S1BF0.out,10423702,6130989,63839,11024,1202864
S1BF0.out,10599783,6171040,73320,14553,1208524
S1BF0.out,10734170,6192234,73367,14848,1212191
S1BF0.out,10575719,6149649,72971,14352,1205460
S1BF0.out,10613201,6139644,74548,14818,1204225
S1BF0.out,10525675,6135224,69911,12996,1203564
S1BF0.out,10512500,6163884,77573,15843,1208011
S1BF0.out,10579841,6127414,63715,16516,1202323
S1BF0.out,10743319,6137859,66905,19630,1203525
S1BF0.out,10823999,6144285,72279,23708,1205184
S1BF0.out,10811201,6141352,73409,29982,1204584
S1BF0.out,10883108,6155564,74723,34168,1206988
S1BF0.out,10987215,6132906,71543,34265,1203269
S1BF0.out,10810351,6136081,75960,27803,1203450
S1BF0.out,10751087,6138068,75582,19223,1204142
S1BF0.out,10571887,6152624,84406,34015,1206396
S1BF0.out,10615852,6129548,75784,16898,1202672
S1BF0.out,10623115,6143611,70476,14090,1205581
S1BF0.out,10665489,6124409,67920,22126,1202058
S1BF0.out,10662597,6153864,66350,13087,1206452
S1BF0.out,10724615,6157304,81705,17557,1207039
S1BF0.out,10603780,6132861,67441,15290,1202771
S1BF0.out,10512085,6125902,74268,18520,1201836
S1BF0.out,10764990,6130488,70781,21163,1202416
S1BF0.out,10769960,6135480,71268,26502,1203080
S1BF0.out,10927406,6133967,72806,34630,1203401
S1BF0.out,11101843,6139405,74889,38508,1204049
S1BF0.out,10561519,6136230,76930,28419,1203460
S1BF0.out,10839135,6150560,76100,28169,1205581
S1BF0.out,10859673,6138815,72469,20234,1204220
S1BF0.out,10500952,6122521,71133,16797,1201343
S1BF0.out,10650719,6171359,81562,19924,1209502
S1BF0.out,10644746,6157892,78628,13932,1207244
S1BF0.out,10449483,6135593,70851,13548,1203360
S1BF0.out,10569716,6155633,69365,13946,1206502
S1BF0.out,10455480,6151932,68950,14483,1206004
S1BF0.out,10605414,6152595,74004,15237,1206273
S1BF0.out,10643646,6129525,64272,15020,1202473
S1BF0.out,10599002,6141104,75202,18421,1204661
S1BF0.out,10673966,6138492,74290,21301,1203696
S1BF0.out,10863248,6175559,80653,28281,1210071
S1BF0.out,9842033,6139133,88600,37847,1204132
S1BF0.out,10685593,6129304,75807,30858,1202575
