model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,12.355961084365845,VFJJ2,8,196,VFJJ1,VFJJ
meta-llama/Meta-Llama-3.1-8B-Instruct,22.28891539573669,VFJJ3,13,198,VFJJ2,VFJJ
meta-llama/Meta-Llama-3.1-8B-Instruct,36.65871262550354,IDGL1,12,108,,IDGL
meta-llama/Meta-Llama-3.1-8B-Instruct,29.0880286693573,IDGL2,5,136,IDGL1,IDGL
meta-llama/Meta-Llama-3.1-8B-Instruct,6.381630420684815,IDGL3,14,140,IDGL2,IDGL
meta-llama/Meta-Llama-3.1-8B-Instruct,37.09454321861267,PSOT1,9,108,,PSOT
meta-llama/Meta-Llama-3.1-8B-Instruct,36.27034950256348,OGEA1,8,41,,OGEA
meta-llama/Meta-Llama-3.1-8B-Instruct,4.642740726470947,OGEA2,6,51,OGEA1,OGEA
meta-llama/Meta-Llama-3.1-8B-Instruct,36.52970123291016,BFPR1,3,29,,BFPR
meta-llama/Meta-Llama-3.1-8B-Instruct,16.51900005340576,RQFT1,13,50,,RQFT
meta-llama/Meta-Llama-3.1-8B-Instruct,13.386293172836304,RQFT2,2,94,RQFT1,RQFT
meta-llama/Meta-Llama-3.1-8B-Instruct,9.842995166778564,RQFT3,6,116,RQFT2,RQFT
meta-llama/Meta-Llama-3.1-8B-Instruct,16.38486409187317,IYBA1,14,20,,IYBA
meta-llama/Meta-Llama-3.1-8B-Instruct,5.823975563049316,IYBA2,13,57,IYBA1,IYBA
meta-llama/Meta-Llama-3.1-8B-Instruct,5.565909385681152,IYBA3,3,57,IYBA2,IYBA
meta-llama/Meta-Llama-3.1-8B-Instruct,13.064301252365112,IYBA4,13,53,IYBA3,IYBA
meta-llama/Meta-Llama-3.1-8B-Instruct,4.633753538131714,FVBX1,4,35,,FVBX
meta-llama/Meta-Llama-3.1-8B-Instruct,12.038692951202393,FVBX2,1,40,FVBX1,FVBX
meta-llama/Meta-Llama-3.1-8B-Instruct,6.510038137435913,FVBX3,3,64,FVBX2,FVBX
meta-llama/Meta-Llama-3.1-8B-Instruct,8.818298578262329,FVBX4,6,107,FVBX3,FVBX
meta-llama/Meta-Llama-3.1-8B-Instruct,16.3881356716156,GBIV1,12,24,,GBIV
meta-llama/Meta-Llama-3.1-8B-Instruct,15.544719219207764,GBIV2,3,45,GBIV1,GBIV
meta-llama/Meta-Llama-3.1-8B-Instruct,1.9011940956115725,GBIV3,11,42,GBIV2,GBIV
meta-llama/Meta-Llama-3.1-8B-Instruct,13.927916765213013,GBIV4,8,84,GBIV3,GBIV
meta-llama/Meta-Llama-3.1-8B-Instruct,16.068994522094727,CZPF1,7,93,,CZPF
meta-llama/Meta-Llama-3.1-8B-Instruct,9.354750394821169,CZPF2,14,110,CZPF1,CZPF
meta-llama/Meta-Llama-3.1-8B-Instruct,16.090008020401,JCPF1,5,101,,JCPF
meta-llama/Meta-Llama-3.1-8B-Instruct,9.583476305007936,JCPF2,11,102,JCPF1,JCPF
meta-llama/Meta-Llama-3.1-8B-Instruct,5.690175771713257,JCPF3,4,130,JCPF2,JCPF
meta-llama/Meta-Llama-3.1-8B-Instruct,7.243299722671509,JCPF4,12,148,JCPF3,JCPF
meta-llama/Meta-Llama-3.1-8B-Instruct,16.021328449249268,KXGA1,6,47,,KXGA
meta-llama/Meta-Llama-3.1-8B-Instruct,3.227189302444458,KXGA2,12,75,KXGA1,KXGA
meta-llama/Meta-Llama-3.1-8B-Instruct,11.2367205619812,KXGA3,4,94,KXGA2,KXGA
meta-llama/Meta-Llama-3.1-8B-Instruct,9.85932445526123,KXGA4,14,102,KXGA3,KXGA
meta-llama/Meta-Llama-3.1-8B-Instruct,15.983360052108765,HUPJ1,8,82,,HUPJ
meta-llama/Meta-Llama-3.1-8B-Instruct,10.91702437400818,HUPJ2,5,121,HUPJ1,HUPJ
meta-llama/Meta-Llama-3.1-8B-Instruct,7.521017789840698,HUPJ3,4,157,HUPJ2,HUPJ
meta-llama/Meta-Llama-3.1-8B-Instruct,16.259080410003662,UXDM1,7,63,,UXDM
meta-llama/Meta-Llama-3.1-8B-Instruct,12.292879581451416,UXDM2,14,83,UXDM1,UXDM
meta-llama/Meta-Llama-3.1-8B-Instruct,11.046101570129396,UXDM3,13,138,UXDM2,UXDM
meta-llama/Meta-Llama-3.1-8B-Instruct,16.546823501586914,HSKN1,11,50,,HSKN
